word,definition
"alarming","frightening because of an awareness of danger"
"assuring","giving confidence"
"assuming","excessively forward"
"aglitter","having brief brilliant points or flashes of light"
"acaudate","lacking a tail or taillike appendage"
"attended","having a caretaker or other watcher"
"attended","playing or singing with instrumental or vocal accompaniment"
"afferent","of nerves and nerve impulses"
"afferent","a nerve that passes impulses from receptors toward or to the central nervous system"
"adjusted","altered to accommodate to certain requirements or bring into a proper relation"
"adjusted","adjusted to demands of daily living"
"adjusted","(especially of garments) having the fit or style adjusted"
"adjusted","having achieved a comfortable relation with your environment"
"anorthic","having three unequal crystal axes intersecting at oblique angles"
"amethyst","of a moderate purple color"
"amethyst","a transparent purple variety of quartz"
"ash-grey","of a light grey"
"ash-gray","of a light grey"
"achromic","having no color"
"analyzed","examined carefully and methodically"
"advanced","situated ahead or going before"
"advanced","comparatively late in a course of development"
"advanced","(of societies) highly developed especially in technology or industry"
"advanced","far along in time"
"advanced","ahead in development"
"advanced","at a higher level in training or knowledge or skill"
"advanced","farther along in physical or mental development"
"advanced","ahead of the times"
"anserine","having or revealing stupidity"
"anserine","of or resembling a goose"
"adjacent","near or close to but not necessarily touching"
"adjacent","nearest in space or position"
"adjacent","having a common boundary or edge"
"all-time","unsurpassed in some respect up to the present"
"acentric","not centered or having no center"
"acentric","lacking a centromere"
"asternal","not connected to the sternum or breastbone"
"anarchic","without law or control"
"arguable","open to argument or debate"
"arguable","capable of being supported by argument"
"aperient","mildly laxative"
"aperient","a purging medicine"
"aeriform","characterized by lightness and insubstantiality"
"aeriform","resembling air or having the form of air"
"accursed","under a curse"
"amenable","disposed or willing to comply"
"amenable","liable to answer to a higher authority"
"amenable","open to being acted upon in a certain way"
"amenable","readily reacting to suggestions and influences"
"asserted","confidently declared to be so"
"autarkic","of countries"
"allusive","characterized by indirect references"
"archaean","of or relating to the earliest known rocks formed during the Precambrian Eon"
"attained","achieved or reached"
"adynamic","characterized by an absence of force or forcefulness"
"adynamic","lacking strength or vigor"
"asthenic","having a slender physique"
"asthenic","lacking strength or vigor"
"assigned","appointed to a post or duty"
"allotted","given as a task"
"academic","hypothetical or theoretical and not expected to produce an immediate or practical result"
"academic","marked by a narrow focus on or display of learning especially its trivial aspects"
"academic","associated with academia or an academy"
"academic","an educator who works at a college or university"
"appetent","marked by eager desire"
"abstruse","difficult to penetrate"
"accusing","containing or expressing accusation"
"accusive","containing or expressing accusation"
"aflutter","excited in anticipation"
"apostate","not faithful to religion or party or cause"
"apostate","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"anorexic","suffering from anorexia nervosa"
"anorexic","a person suffering from anorexia nervosa"
"apractic","having uncoordinated muscular movements, symptomatic of a CNS disorder"
"aromatic","having a strong pleasant odor"
"aromatic","(chemistry) of or relating to or containing one or more benzene rings"
"adoptive","acquired as your own by free choice"
"adoptive","of parents and children"
"adscript","(used of persons) bound to a tract of land"
"adscript","written or printed immediately following another character and aligned with it"
"articled","bound by contract"
"abortive","failing to accomplish an intended result"
"acarpous","producing no fruit"
"attested","established as genuine"
"assorted","consisting of a haphazard assortment of different kinds"
"assorted","of many different kinds purposefully arranged but lacking any uniformity"
"adjuvant","enhancing the action of a medical treatment"
"adjuvant","furnishing added support"
"adjuvant","an additive that enhances the effectiveness of medical treatment"
"amicable","characterized by friendship and good will"
"aestival","(rare) of or occurring in summer"
"autumnal","of or characteristic of or occurring in autumn"
"autumnal","characteristic of late maturity verging on decline"
"advisory","giving consultative information or advice"
"advisory","an announcement that usually advises or warns the public of some threat"
"agnostic","uncertain of all claims to knowledge"
"agnostic","of or pertaining to an agnostic or agnosticism"
"agnostic","a person who claims that they cannot have true knowledge about the existence of God, but does not deny that God might exist"
"agnostic","someone who is doubtful or noncommittal about something"
"absolved","freed from any question of guilt"
"acquired","gotten through environmental forces"
"airtight","not allowing air or gas to pass in or out"
"airtight","having no weak points"
"adorable","lovable especially in a childlike or naive way"
"antheral","capable of fertilizing female organs"
"ambulant","able to walk about"
"abnormal","much greater than the normal"
"abnormal","not normal"
"abnormal","departing from the normal in e.g. intelligence and development"
"actuated","moved to action"
"airborne","moved or conveyed by or through air"
"arranged","deliberately arranged for effect"
"arranged","planned in advance"
"arranged","disposed or placed in a particular kind of order"
"aberrant","markedly different from an accepted norm"
"aberrant","one whose behavior departs substantially from the norm of a group"
"atypical","deviating from normal expectations"
"atypical","not representative of a group, class, or type"
"apparent","clearly revealed to the mind or the senses or judgment"
"apparent","appearing as such but not necessarily so"
"antitank","designed for defense against armored vehicles"
"agonized","expressing pain or agony"
"agonised","expressing pain or agony"
"arillate","(of some seeds) having a fleshy and usually brightly colored cover"
"awninged","covered with an awning"
"aligning","causing to fall into line or into position"
"almighty","having unlimited power"
"aleatory","dependent on chance"
"arrogant","having or showing feelings of unwarranted importance out of overbearing pride"
"agrestic","(of behavior) rustic and uncouth"
"agrestic","characteristic of the fields or country"
"assonant","having the same vowel sound occurring with different consonants in successive words or stressed syllables"
"assonant","having the same sound (especially the same vowel sound) occurring in successive stressed syllables"
"amnesiac","suffering from a partial loss of memory"
"amnesiac","a person suffering from amnesia"
"anechoic","not having or producing echoes"
"annulate","shaped like a ring"
"antlered","having antlers"
"aspheric","varying slightly from a perfectly spherical shape"
"auriform","having a shape resembling an ear"
"affluent","having an abundant supply of money or possessions of value"
"affluent","a branch that flows into the main stream"
"affluent","an affluent person"
"agrarian","relating to rural matters"
"arcadian","(used with regard to idealized country life) idyllically rustic"
"angulate","having angles or an angular shape"
"angulate","to make or become angular"
"asteroid","shaped like a star"
"asteroid","any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)"
"alluring","highly attractive and able to arouse hope or desire"
"acicular","narrow and long and pointed"
"aquiline","curved down like an eagle's beak"
"abatable","capable of being abated"
"aflicker","shining unsteadily"
"ataraxic","tending to soothe or tranquilize"
"accented","bearing a stress or accent"
"accented","used of syllables"
"arciform","forming or resembling an arch"
"allergic","having an allergy or peculiar or excessive susceptibility, especially to a specific factor"
"allergic","characterized by or caused by allergy"
"actinoid","having a radial form"
"actinoid","any of a series of radioactive elements with atomic numbers 89 through 103"
"assisted","having help"
"astonied","filled with the emotional impact of overwhelming surprise or shock"
"autistic","characteristic of or affected with autism"
"attrited","worn by rubbing or friction"
"apterous","(of insects) without wings"
"abbatial","of or having to do with or belonging to an abbey or abbot, or abbess"
"agraphic","relating to or having agraphia"
"amitotic","pertaining to a simple method of cell division"
"ammoniac","pertaining to or containing or similar to ammonia"
"ammoniac","the aromatic gum of the ammoniac plant"
"anoxemic","relating to or marked by abnormally little oxygen in arterial blood"
"amnestic","of or relating to or caused by amnesia"
"acapnial","relating to or demonstrating acapnia"
"amniotic","of or related to the amnion or characterized by developing an amnion"
"acervate","pertaining to a growth of fungi that forms a heaped-up mass"
"amnionic","of or related to the amnion or characterized by developing an amnion"
"antennal","of or relating to antennae"
"acetonic","of or relating to acetone"
"Albanian","of or relating to Albania or its people or language or culture"
"Albanian","the Albanian language"
"Albanian","a person from Albania or of Albanian descent"
"acetylic","of or related to acetic acid"
"amphoric","the sound heard in auscultation resembling the hollow sound made by blowing across the mouth of a bottle"
"ampullar","of or related to an ampulla"
"achenial","pertaining to dry one-seeded indehiscent fruit"
"alchemic","related to or concerned with alchemy"
"acidotic","having or being characterized by acidosis"
"anagogic","based on or exemplifying anagoge"
"aculeate","having or resembling a stinger or barb"
"anestric","of or relating to anestrus"
"anginose","of or related to the pain of angina pectoris"
"anuretic","of or relating to an inability to urinate"
"anginous","of or related to the pain of angina pectoris"
"Aleutian","of or relating to the Aleut or their language or culture"
"alopecic","pertaining to loss of hair or wool or feathers"
"alveolar","pertaining to the tiny air sacs of the lungs"
"alveolar","pertaining to the sockets of the teeth or that part of the upper jaw"
"alveolar","a consonant articulated with the tip of the tongue near the gum ridge"
"Arminian","of or relating to Arminianism"
"Armenian","of or pertaining to Armenia or the people or culture of Armenia"
"Armenian","the Armenian language"
"Armenian","a person from Armenia or of Armenian descent"
"amoeboid","like an amoeba (especially in having a variable irregular shape)"
"affixial","of or pertaining to a linguistic affix"
"agential","of or relating to an agent or agency"
"axillary","of or relating to the armpit"
"axillary","of or relating to the axil"
"azotemic","of or involving excess nitrogenous waste products in the urine (usually due to kidney insufficiency)"
"Aramaean","of or relating to Aram or to its inhabitants or their culture or their language"
"Arawakan","of or relating to the peoples who speak the language of the Arawak"
"arbitral","relating to or resulting from arbitration"
"arborary","of or relating to or formed by trees"
"arborous","of or relating to or formed by trees"
"aurorean","characteristic of the dawn"
"archival","of or relating to or contained in or serving as an archive"
"aoristic","of or relating to the aorist tense"
"areolate","relating to or like or divided into areolae"
"argentic","relating to compounds in which silver is bivalent"
"araceous","relating to a plant of the family Araceae"
"apiarian","relating to bees or beekeeping"
"arterial","of or involving or contained in the arteries"
"apogamic","of or relating to the development of an embryo in the absence of fertilization"
"avellane","pertaining to filberts or hazelnuts"
"afebrile","having no fever"
"acoustic","of or relating to the science of acoustics"
"acoustic","a remedy for hearing loss or deafness"
"auditory","of or relating to the process of hearing"
"auditive","of or relating to the process of hearing"
"anatomic","of or relating to the structure of the body"
"anatomic","of or relating to the branch of morphology that studies the structure of organisms"
"American","of or relating to or characteristic of the continents and islands of the Americas"
"American","of or relating to the United States of America or its people or language or culture"
"American","a person from America or of American descent"
"Austrian","of or relating to Austria or its people or culture"
"Anglican","of or pertaining to or characteristic of the Anglican church"
"Atlantic","relating to or bordering the Atlantic Ocean"
"Alsatian","of or relating to or characteristic of Alsace or its inhabitants"
"Athenian","of or relating to or characteristic of Athens or its inhabitants"
"agonadal","lacking gonads"
"aversive","tending to repel or dissuade"
"Assamese","of or relating to or characteristic of Assam or its people or culture or language"
"Algerian","of or relating to or characteristic of Algeria or its inhabitants"
"Andorran","of or relating to or characteristic of Andorra or its people"
"alluvial","of or relating to alluvium"
"atrophic","relating to or characterized by atrophy"
"amoebous","pertaining to or resembling amoebae"
"Antiguan","of or relating to or characteristic of Antigua or its people"
"armorial","of or relating to heraldry or heraldic arms"
"Augustan","relating to or characteristic of the times of the Roman Emperor Augustus"
"abomasal","relating to the abomasum (the fourth compartment of the stomach of ruminants)"
"artifact","a man-made object taken as a whole"
"artefact","a man-made object taken as a whole"
"awarding","a grant made by a law court"
"adoption","the appropriation (of ideas or words etc) from another source"
"adoption","the act of accepting with approval"
"adoption","a legal proceeding that creates a parent-child relation between persons not related by blood"
"artifice","a deceptive maneuver (especially to avoid capture)"
"aversion","the act of turning yourself, or your gaze, away"
"aversion","a feeling of intense dislike"
"averting","the act of turning yourself, or your gaze, away"
"averting","the act of preventing something from occurring"
"apostasy","the act of abandoning a party for cause"
"apostasy","the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes)"
"aeration","the act of charging a liquid with a gas making it effervescent"
"aeration","the process of exposing to air (so as to purify)"
"abortion","termination of pregnancy"
"abortion","failure of a plan"
"ablution","the ritual washing of a priest's hands or of sacred vessels"
"approach","to make advances to someone, usually with a proposal or suggestion"
"approach","to come near in time"
"approach","to move towards"
"approach","to begin to deal with"
"approach","to come near, resemble, come nearer in quality, or character"
"approach","the act of drawing spatially closer to something"
"approach","a relatively short golf shot intended to put the ball onto the putting green"
"approach","ideas or actions intended to deal with a problem or situation"
"approach","a way of entering or leaving"
"approach","a close approximation"
"approach","the temporal property of becoming nearer in time"
"approach","a tentative suggestion designed to elicit the reactions of others"
"approach","the event of one object coming closer to another"
"approach","the final path followed by an aircraft as it is landing"
"aviation","travel via aircraft"
"aviation","the art of operating aircraft"
"aviation","the operation of aircraft to provide transportation"
"aviation","the aggregation of a country's military aircraft"
"Alpinism","mountain climbing (not restricted to the Alps)"
"addition","the act of adding one thing to another"
"addition","the arithmetic operation of summing"
"addition","a component that is added to something to improve it"
"addition","a suburban area laid out in streets and lots for a future residential area"
"addition","something added to what you already have"
"addition","a quantity that is added"
"ablation","surgical removal of a body part or tissue"
"ablation","the erosive process that reduces the size of glaciers"
"autotomy","spontaneous removal or casting off of a body part (as the tail of a lizard or claw of a lobster) especially when the organism is injured or under attack"
"avulsion","a forcible tearing or surgical separation of one body part from another"
"avulsion","an abrupt change in the course of a stream that forms the boundary between two parcels of land resulting in the loss of part of the land of one landowner and a consequent increase in the land of another"
"activity","any specific behavior"
"activity","the trait of being active"
"activity","an organic process that takes place in the body"
"activity","a process existing in or produced by nature (rather than by the intent of human beings)"
"activity","the state of being active"
"activity","(chemistry) the capacity of a substance to take part in a chemical reaction"
"atrocity","an act of atrocious cruelty"
"atrocity","the quality of being shockingly cruel and inhumane"
"aquatics","sports that involve bodies of water"
"anagrams","a game whose object is to form words from a group of randomly chosen letters"
"analysis","an investigation of the component parts of a whole and their relations in making up the whole"
"analysis","a set of techniques for exploring underlying motives and a method of treating various mental disorders"
"analysis","the abstract separation of a whole into its constituent parts in order to study the parts and their relations"
"analysis","a branch of mathematics involving calculus and the theory of limits"
"analysis","a form of literary criticism in which the structure of a piece of writing is analyzed"
"analysis","the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'"
"aerobics","exercise that increases the need for oxygen"
"altering","the sterilization of an animal"
"attitude","a theatrical pose created for effect"
"attitude","the arrangement of the body and its limbs"
"attitude","a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways"
"attitude","position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)"
"avaritia","reprehensible acquisitiveness"
"audition","a test of the suitability of a performer"
"audition","the ability to hear"
"audition","to perform in order to get a role"
"assembly","the act of constructing something (as a piece of machinery)"
"assembly","the social act of assembling"
"assembly","a group of machine parts that fit together to form a self-contained unit"
"assembly","a unit consisting of components that have been fitted together"
"assembly","a public facility to meet for open discussion"
"assembly","a group of persons who are gathered together for a common purpose"
"aquatint","a method of etching that imitates the broad washes of a water color"
"aquatint","an etching made by a process that makes it resemble a water color"
"aquatint","to etch in aquatint"
"abidance","the act of abiding (enduring without yielding)"
"abidance","the act of dwelling in a place"
"abidance","acting according to certain accepted standards"
"affusion","the act of baptizing someone by pouring water on their head"
"agrypnia","a vigil before certain feasts (as e.g. Easter)"
"alliance","the act of forming an alliance or confederation"
"alliance","a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
"alliance","an organization of people (or countries) involved in a pact or treaty"
"alliance","a connection based on kinship or marriage or common interest"
"alliance","the state of being allied or confederated"
"armament","the act of equiping with weapons in preparation for war"
"armament","weaponry used by military or naval force"
"auspices","kindly endorsement and guidance"
"approval","the formal act of approving"
"approval","a message expressing a favorable opinion"
"approval","a feeling of liking something or someone good"
"approval","acceptance as satisfactory"
"adhesion","faithful support for a cause or political party or religion"
"adhesion","the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
"adhesion","a fibrous band of scar tissue that binds together normally separate anatomical structures"
"adhesion","abnormal union of bodily tissues"
"advocacy","active support of an idea or cause etc."
"acrodont","an animal having teeth consolidated with the summit of the alveolar ridge without sockets"
"anaerobe","an organism (especially a bacterium) that does not require air or free oxygen to live"
"ascidian","minute sedentary marine invertebrate having a saclike body with siphons through which water enters and leaves"
"agnathan","eel-shaped vertebrate without jaws or paired appendages including the cyclostomes and some extinct forms"
"accentor","small sparrow-like songbird of mountainous regions of Eurasia"
"avadavat","red Asian weaverbirds often kept as cage birds"
"amadavat","red Asian weaverbirds often kept as cage birds"
"amphibia","the class of vertebrates that live on land but breed in water"
"amphiuma","aquatic eel-shaped salamander having two pairs of very small feet"
"allosaur","late Jurassic carnivorous dinosaur"
"arachnid","air-breathing arthropods characterized by simple eyes and four pairs of legs"
"anaconda","large arboreal boa of tropical South America"
"anteater","a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites"
"anteater","small Australian marsupial having long snout and strong claws for feeding on termites"
"anteater","nocturnal burrowing mammal of the grasslands of Africa that feeds on termites"
"anteater","any of several tropical American mammals of the family Myrmecophagidae which lack teeth and feed on ants and termites"
"anteater","toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites"
"apolemia","large siphonophore of up to 50 ft long"
"actinian","any sea anemone or related animal"
"adjutant","large Indian stork with a military gait"
"adjutant","an officer who acts as military assistant to a more senior officer"
"amphipod","a kind of malacostracan crustacean"
"aardvark","nocturnal burrowing mammal of the grasslands of Africa that feeds on termites"
"aardwolf","striped hyena of southeast Africa that feeds chiefly on insects"
"alsatian","breed of large shepherd dogs used in police work and as a guide for the blind"
"armyworm","larva of fungus gnat that feed on cereals and other grains"
"armyworm","moth whose destructive larvae travel in multitudes"
"armyworm","noctuid moth larvae that travel in multitudes destroying especially grass and grain"
"andrenid","a bee that is a member of the genus Andrena"
"alderfly","dark-colored insect having predaceous aquatic larvae"
"abrocome","ratlike rodent with soft fur and large ears of the Andes"
"abomasum","the fourth compartment of the stomach of a ruminant"
"antelope","graceful Old World ruminant with long legs and horns directed upward and backward"
"allmouth","fishes having large mouths with a wormlike filament attached for luring prey"
"albacore","large pelagic tuna the source of most canned tuna"
"albacore","relatively small tuna with choice white flesh"
"abattoir","a building where animals are butchered"
"abradant","a tool or machine used for wearing down or smoothing or polishing"
"abradant","a substance that abrades or wears down"
"abutment","a masonry support that touches and directly receives thrust or pressure of an arch or bridge"
"abutment","point of contact between two objects or parts"
"anaglyph","anything carved in low relief"
"anaglyph","moving or still pictures in contrasting colors that appear three-dimensional when superimposed"
"airliner","a commercial airplane that carries passengers"
"airplane","an aircraft that has a fixed wing and is powered by propellers or jets"
"airscrew","a propeller that rotates to push against air"
"airdrome","an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo"
"airstrip","an airfield without normal airport facilities"
"aigrette","a long plume (especially one of egret feathers) worn on a hat or a piece of jewelry in the shape of a plume"
"airbrake","a vehicular brake that operates by compressed air"
"airbrake","a small parachute or articulated flap to reduce the speed of an aircraft"
"airbrush","an atomizer to spray paint by means of compressed air"
"airbrush","to paint with atomised paint"
"aircraft","a vehicle that can fly"
"actuator","a mechanism that puts something into automatic action"
"alehouse","a tavern where ale is sold"
"airfield","a place where planes take off and land"
"aerofoil","a device that provides reactive force when in motion relative to the surrounding air"
"airframe","the framework and covering of an airplane or rocket (excluding the engines)"
"alleyway","a narrow street with walls on both sides"
"anteroom","a large entrance or reception room or area"
"aperture","an man-made opening"
"aperture","a device that controls amount of light admitted"
"aperture","a natural opening in something"
"analyzer","an instrument that performs analyses"
"analyser","an instrument that performs analyses"
"armature","coil in which voltage is induced by motion through a magnetic field"
"armchair","chair with a support on each side for arms"
"applique","a decorative design made of one material sewn over another"
"applique","to sew on as a decoration"
"anesthyl","a mixture of methyl and ethyl chloride"
"antidote","a remedy that stops or controls the effects of a poison"
"aqualung","a device (trade name Aqua-Lung) that lets divers breathe under water"
"aquarium","a tank or pool or bowl filled with water for keeping live fish and underwater animals"
"aqueduct","a conduit that resembles a bridge but carries water over a valley"
"arquebus","an obsolete firearm with a long barrel"
"arrester","a restraint that slows airplanes as they land on the flight deck of an aircraft carrier"
"autobahn","an expressway in a German-speaking country"
"autogiro","an aircraft that is supported in flight by unpowered rotating horizontal wings (or blades)"
"autogyro","an aircraft that is supported in flight by unpowered rotating horizontal wings (or blades)"
"atomizer","a dispenser that turns a liquid (such as perfume) into a fine mist"
"atomiser","a dispenser that turns a liquid (such as perfume) into a fine mist"
"atropine","a poisonous crystalline alkaloid extracted from the nightshade family"
"atenolol","an oral beta blocker (trade name Tenormin) used in treating hypertension and angina"
"axletree","a dead axle on a carriage or wagon that has terminal spindles on which the wheels revolve"
"atheneum","a place where reading materials are available"
"atheneum","a literary or scientific association for the promotion of learning"
"astragal","a beaded molding for edging or decorating furniture"
"astragal","the bone in the ankle that articulates with the leg bones to form the ankle joint"
"armguard","a protective covering for the wrist or arm that is used in archery and fencing and other sports"
"aventail","a medieval hood of mail suspended from a basinet to protect the head and neck"
"arbalest","an engine that provided medieval artillery used during sieges"
"arbalist","an engine that provided medieval artillery used during sieges"
"autotype","an exact copy or reproduction"
"autotype","process for producing permanent prints in a carbon pigment"
"airiness","lightness in movement or manner"
"airiness","the property of something weightless and insubstantial"
"airiness","the property of something spacious and abounding in fresh air"
"alacrity","liveliness and eagerness"
"asperity","harshness of manner"
"asperity","something hard to endure"
"acrimony","a rough and bitter manner"
"acerbity","a rough and bitter manner"
"acerbity","a sharp sour taste"
"acerbity","a sharp bitterness"
"archness","inappropriate playfulness"
"agerasia","youthful appearance in an old person"
"affinity","(immunology) the attraction between an antigen and an antibody"
"affinity","a close connection marked by community of interests or similarity in nature or character"
"affinity","in biology, state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts"
"affinity","(anthropology) kinship by marriage or adoption"
"affinity","a natural attraction or feeling of kinship"
"affinity","inherent resemblance between persons or things"
"affinity","the force attracting atoms to each other and binding them together in a molecule"
"acridity","the quality of being sharply disagreeable in language or tone"
"acridity","extreme bitterness"
"acridity","having an acrid smell"
"alienage","the quality of being alien"
"alienism","the quality of being alien"
"alienism","an obsolete term for the study and treatment of mental illness"
"adequacy","the quality of being able to meet a need satisfactorily: 'he questioned the adequacy of the usual sentimental interpretation of the Golden Rule'"
"adequacy","the quality of being sufficient for the end in view"
"accuracy","the quality of being near to the true value"
"accuracy","(mathematics) the number of significant figures given in a number"
"ambition","a strong drive for success"
"ambition","a cherished desire"
"audacity","aggressive boldness or unmitigated effrontery"
"audacity","fearless daring"
"altruism","the quality of unselfish concern for the welfare of others"
"adamance","resoluteness by virtue of being unyielding and inflexible"
"ancestry","inherited properties shared with others of your bloodline"
"ancestry","the descendants of one individual"
"ataraxia","peace of mind"
"agedness","the property characteristic of old age"
"actinism","the property of radiation that enables it to produce photochemical effects"
"achromia","an absence of normal pigmentation especially in the skin (as in albinism) or in red blood cells"
"adiposis","the property of excessive fatness"
"adynamia","lack of strength or vigor (especially from illness)"
"advowson","the right in English law of presenting a nominee to a vacant ecclesiastical benefice"
"altitude","elevation especially above sea level or above the earth's surface"
"altitude","angular distance above the horizon (especially of a celestial object)"
"altitude","the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
"asterion","the craniometric point at the junction of the lamboid suture and the occipitomastoid suture and the parietomastoid suture"
"atheroma","a fatty deposit in the intima (inner lining) of an artery"
"alveolus","a bony socket in the alveolar ridge that holds a tooth"
"alveolus","a tiny sac for holding air in the lungs"
"axolemma","outer membrane covering an axon"
"abductor","a muscle that draws a body part away from the median line"
"abductor","someone who unlawfully seizes and detains a victim (usually for ransom)"
"adductor","a muscle that draws a body part toward the median line"
"acromion","the outermost point of the spine of the shoulder blade"
"auricula","a pouch projecting from the top front of each atrium of the heart"
"auricula","yellow-flowered primrose native to Alps"
"autacoid","any physiologically active internal secretion especially one of uncertain classification"
"autocoid","any physiologically active internal secretion especially one of uncertain classification"
"acrosome","a process at the anterior end of a sperm cell that produces enzymes to facilitate penetration of the egg"
"acaryote","a cell without a nucleus (as an erythrocyte)"
"amygdala","an almond-shaped neural structure in the anterior part of the temporal lobe of the cerebrum"
"abducens","a small motor nerve supplying the lateral rectus muscle of the eye"
"appendix","a vestigial process that extends from the lower end of the cecum and that resembles a small pouch"
"appendix","supplementary material that is collected and appended at the back of a book"
