word,definition
"first in first out","inventory accounting in which the oldest items (those first acquired) are assumed to be the first sold"
"fraud in the factum","fraud that arises from a disparity between the instrument intended to be executed and the instrument actually executed"
"fraud in the inducement","fraud which intentionally causes a person to execute and instrument or make an agreement or render a judgment"
"functional magnetic resonance imaging","a form of magnetic resonance imaging of the brain that registers blood flow to functioning areas of the brain"
"first battle of Ypres","battle in World War I (1914)"
"field-sequential color television system","an early form of color TV in which successive fields are scanned in three primary colors"
"field-sequential color TV system","an early form of color TV in which successive fields are scanned in three primary colors"
"fleet ballistic missile submarine","a submarine carrying ballistic missiles"
"fly in the ointment","an inconvenience that detracts from the usefulness of something"
"freedom of the press","a right guaranteed by the First Amendment to the US Constitution"
"freedom to bear arms","a right guaranteed by the 2nd amendment to the US Constitution"
"freedom from double jeopardy","a civil right guaranteed by the Fifth Amendment to the US Constitution"
"freedom from involuntary servitude","a civil right guaranteed by the 13th amendment to the US Constitution"
"fenestra of the vestibule","fenestra that has the base of the stapes attached to it"
"fenestra of the cochlea","fenestra leading into the cochlea"
"female internal reproductive organ","the reproductive organs of a woman"
"first law of motion","a body remains at rest or in motion with a constant velocity unless acted upon by an external force"
"fourth pillar of Islam","an Islamic religious tax"
"first law of thermodynamics","the fundamental principle of physics that the total energy of an isolated system is constant despite internal changes"
"federal job safety law","a law passed by the United States Congress that created the Occupational Safety and Health Administration to prevent employees from being injured or contracting diseases in the course of their employment"
"full faith and credit","a guarantee to pay interest and principal on debt"
"friend of the court","an adviser to the court on some matter of law who is not a party to the case"
"flash in the pan","someone who enjoys transient success but then fails"
"force per unit area","the force applied to a unit area of surface"
"fairway crested wheat grass","Eurasian grass grown in United States great plains area for forage and erosion control"
"fringed grass of Parnassus","bog plant with broadly heart-shaped basal leaves and cream-colored or white saucer-shaped flowers with fringed petals"
"freedom of the seas","the right of merchant ships to travel freely in international waters"
"fibrous dysplasia of bone","a disturbance in which bone that is undergoing lysis is replaced by an abnormal proliferation of fibrous tissue resulting in bone lesions or skin lesions"
"feel like a million","be in excellent health and spirits"
"fall by the wayside","give up in the face of defeat of lacking hope"
"fly off the handle","get very angry and fly into a rage"
"foam at the mouth","be in a state of uncontrolled anger"
"froth at the mouth","be in a state of uncontrolled anger"
"general theory of relativity","a generalization of special relativity to include gravity (based on the principle of equivalence)"
"generally accepted accounting principles","a collection of rules and procedures and conventions that define accepted accounting practice"
"gall of the earth","common perennial herb widely distributed in the southern and eastern United States having drooping clusters of pinkish flowers and thick basal leaves suggesting a lion's foot in shape"
"great St John's wort","perennial shrub having large star-shaped yellow flowers in narrowly pyramidal cymes"
"go to the dogs","become ruined"
"go through the motions","pretend to do something by acting as if one was really doing it"
"get the better of","win a victory over"
"get under one's skin","to irritate or annoy"
"get off the ground","get started or set in motion, used figuratively"
"grind to a halt","be unable to move further"
"give the glad eye","look seductively at someone"
"give the once over","look at with a critical eye"
"go off at half-cock","act prematurely or without reflection or too soon"
"give it a try","make an attempt at something"
"give it a try","try"
"give it a whirl","try"
"go a long way","to suffice or be adequate for a while or to a certain extent"
"head and shoulders above","outstandingly superior to"
"hook line and sinker","in every detail"
"hot under the collar","very angry"
"hide and go seek","a game in which a child covers his eyes while the other players hide then tries to find them"
"human T-cell leukemia virus-1","retrovirus causing T-cell leukemia"
"herpes varicella zoster virus","a herpes virus that causes chickenpox and shingles"
"horse of the wood","large black Old World grouse"
"highly active antiretroviral therapy","a combination of protease inhibitors taken with reverse transcriptase inhibitors"
"high fidelity sound system","equipment for the reproduction of sound with high fidelity"
"house of ill repute","a building where prostitutes are available"
"hair of the dog","an alcoholic drink supposed to cure a hangover"
"hunting and gathering tribe","group that supports itself by hunting, fishing and gathering wild fruits and vegetables"
"hunting and gathering society","group that supports itself by hunting and fishing and by gathering wild fruits and vegetables"
"home away from home","a place where you are just as comfortable and content as if you were home"
"hen of the woods","large greyish-brown edible fungus forming a mass of overlapping caps that somewhat resembles a hen at the base of trees"
"hardening of the arteries","sclerosis of the arterial walls"
"hyperbilirubinemia of the newborn","a common disorder that is usually due to immaturity of the liver"
"holy day of obligation","a day when Catholics must attend Mass and refrain from servile work, and Episcopalians must take Communion"
"have a good time","enjoy oneself greatly"
"head for the hills","flee"
"handle with kid gloves","handle with great care and sensitivity"
"hang by a thread","depend on a small thing or be at risk"
"hang by a hair","depend on a small thing or be at risk"
"in and of itself","with respect to its inherent nature"
"in a heartfelt way","in a sincere and heartfelt manner"
"in a higher place","in or to a place that is higher"
"in an elaborate way","with elaboration"
"in spite of appearance","in reality"
"in a broad way","in a general fashion"
"in the first place","of primary import"
"in the first place","before now"
"in a pig's eye","very unlikely"
"in a similar way","with something of the same kind"
"in point of fact","in reality or actuality"
"in the long run","after a very lengthy period of time"
"in the same breath","simultaneously"
"in the adjacent house","at or in or to the adjacent residence"
"in the adjacent apartment","at or in or to the adjacent residence"
"in one's own right","by reason of one's own ability or ownership etc."
"in its own right","by reason of one's own ability or ownership etc."
"in a low voice","in an undertone"
"in a beastly manner","in an inhumane manner"
"in one's birthday suit","as naked as at birth"
"in your birthday suit","as naked as at birth"
"in the public eye","of great interest to the public"
"in his right mind","behaving responsibly"
"in her right mind","behaving responsibly"
"in their right minds","behaving responsibly"
"in a bad way","facing or experiencing financial trouble or difficulty"
"international law enforcement agency","an international administrative unit responsible for law enforcement"
"imperial Japanese morning glory","hybrid from Ipomoea nil"
"inclination of an orbit","(astronomy) the angle between the plane of the orbit and the plane of the ecliptic stated in degrees"
"induration of the arteries","sclerosis of the arterial walls"
"interstitial plasma cell pneumonia","pneumonia occurring in infants or in persons with impaired immune systems (as AIDS victims)"
"inborn error of metabolism","any of a number of diseases in which an inherited defect (usually a missing or inadequate enzyme) results in an abnormality of metabolism"
"in their own right","by reason of one's own ability or ownership etc, can substitute 'their' with other pronouns"
"judgment on the merits","judgment rendered through analysis and adjudication of the factual issues presented"
"judgement on the merits","judgment rendered through analysis and adjudication of the factual issues presented"
"judgment on the pleadings","a judgment rendered by the court prior to a verdict because no material issue of fact exists and one party or the other is entitled to a judgment as a matter of law"
"judgement on the pleadings","a judgment rendered by the court prior to a verdict because no material issue of fact exists and one party or the other is entitled to a judgment as a matter of law"
"je ne sais quoi","something indescribable"
"jack of all trades","a person skilled in various odd jobs and other small tasks"
"Jack of all trades","a person able to do a variety of different jobs acceptably well"
"justice of the peace","a local magistrate with limited judicial jurisdictions and powers"
"jaundice of the newborn","yellowish appearance in newborn infants"
"kick in the butt","a punishment inflicted by kicking the victim in the behind"
"kick in the butt","an occurrence that serves as a major motivating factor"
"kinetic theory of heat","a theory that the temperature of a body increases when kinetic energy increases"
"know what's going on","be well-informed"
"keep one's mouth shut","to refrain from divulging sensitive information"
"keep one's eyes peeled","to pay close attention"
"keep one's eyes skinned","to pay close attention"
"keep one's eyes open","to pay attention"
"keep an eye on","to follow with the eyes or the mind"
"keep one's eyes off","to stay clear of, avoid"
"keep one's hands off","to stay clear of, avoid"
"last but not least","in addition to all the foregoing"
"laying on of hands","laying hands on a person's head to invoke spiritual blessing in Christian ordination"
"laying on of hands","the application of a faith healer's hands to the patient's body"
"line of least resistance","the easiest way"
"last in first out","inventory accounting in which the most recently acquired items are assumed to be the first sold"
"laser-assisted in situ keratomileusis","a refractive surgery procedure that reshapes the cornea"
"laminar flow clean room","a clean room free of all extraneous particles"
"lower respiratory tract smear","any of several cytologic smears obtained from different parts of the lower respiratory tract"
"lens of the eye","biconvex transparent body situated behind the iris in the eye"
"lobe of the lung","any of the three lobes of the right lung or the two lobes of the left lung"
"law of large numbers","(statistics) law stating that a large number of items taken at random from a population will (on the average) have the population statistics"
"law of chemical equilibrium","(chemistry) the principle that (at chemical equilibrium) in a reversible reaction the ratio of the rate of the forward reaction to the rate of the reverse reaction is a constant for that reaction"
"law of equal areas","a law concerning the speed at which planets travel"
"law of constant proportion","(chemistry) law stating that every pure substance always contains the same elements combined in the same proportions by weight"
"law of definite proportions","(chemistry) law stating that every pure substance always contains the same elements combined in the same proportions by weight"
"law of diminishing returns","a law affirming that to continue after a certain level of performance has been reached will result in a decline in effectiveness"
"law of equivalent proportions","(chemistry) law stating that the proportions in which two elements separately combine with a third element are also the proportions in which they combine together"
"law of reciprocal proportions","(chemistry) law stating that the proportions in which two elements separately combine with a third element are also the proportions in which they combine together"
"law of multiple proportions","(chemistry) law stating that when two elements can combine to form more than one compound the amounts of one of them that combines with a fixed amount of the other will exhibit a simple multiple relation"
"law of mass action","(chemistry) the law that states the following principle: the rate of a chemical reaction is directly proportional to the molecular concentrations of the reacting substances"
"law of independent assortment","each member of a pair of homologous chromosomes separates independently of the members of other pairs so the results are random"
"law of common fate","a Gestalt principle of organization holding that aspects of perceptual field that move or function in a similar manner will be perceived as a unit"
"letter of the alphabet","the conventional characters of the alphabet used to represent speech"
"lobster a la Newburg","lobster in Newburg sauce served on buttered toast or rice"
"law of the land","a phrase used in the Magna Carta to refer to the then established law of the kingdom (as distinct from Roman or civil law)"
"lady of the house","a wife who manages a household while her husband earns the family income"
"large yellow lady's slipper","plant of eastern and central North America having slightly fragrant purple-marked greenish-yellow flowers"
"low St Andrew's cross","low shrubby plant having yellow flowers with four petals arranged in a cross"
"lily of the Nile","any of various plants of the genus Agapanthus having umbels of showy blue to purple flowers"
"lily of the Incas","an Andean herb having umbels of showy pinkish-purple lily-like flowers"
"lily of the valley","low-growing perennial plant having usually two large oblong lanceolate leaves and a raceme of small fragrant nodding bell-shaped flowers followed by scarlet berries"
"looseness of the bowels","frequent and watery bowel movements"
"lap of the gods","beyond human control or responsibility"
"lead by the nose","conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end"
"leave no stone unturned","search thoroughly and exhaustively"
"lay on the line","expose to a chance of loss or damage"
"more often than not","usually"
"maximum and minimum thermometer","thermometer that records the highest and lowest temperatures reached during a period of time"
"male internal reproductive organ","the reproductive organs of a man"
"musculus sphincter ani externus","an external ring of striated muscle surrounding the anus"
"musculus sphincter ani internus","an internal ring of smooth muscle formed by circular fibers of the rectum"
"musculus sphincter ductus choledochi","the smooth muscle sphincter of the common bile duct"
"musculus sphincter ductus pancreatici","the smooth muscle sphincter of the main pancreatic duct"
"musculus obliquus externus abdominis","a diagonally arranged abdominal muscle on either side of the torso"
"music of the spheres","an inaudible music that Pythagoras thought was produced by the celestial"
"method of least squares","a method of fitting a curve to data points so as to minimize the sum of the squares of the distances of the points from the curve"
"musical instrument digital interface","a standard protocol for communication between electronic musical instruments and computers"
"moo goo gai pan","a Cantonese dish of chicken and sauteed vegetables"
"middle of the roader","a person who takes a position in the political center"
"man of the cloth","a member of the clergy and a spiritual leader of the Christian Church"
"man in the street","a hypothetical average man"
"man of the world","a worldly-wise person"
"magnetic line of force","a line of force in a magnetic field"
"moment of a couple","given two equal and opposite forces, the product of the force and the distance between them"
"moment of a magnet","the torque exerted on a magnet or dipole when it is placed in a magnetic field"
"million instructions per second","(computer science) a unit for measuring the execution speed of a computer's CPU (but not the whole system)"
"mucocutaneous lymph node syndrome","an acute disease of young children characterized by a rash and swollen lymph nodes and fever"
"maple syrup urine disease","an inherited disorder of metabolism in which the urine has a odor characteristic of maple syrup"
"mal de la rosa","a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin)"
"make up one's mind","reach, make, or come to a decision about something"
"make no bones about","acknowledge freely and openly"
"move back and forth","move in one direction and then into the opposite direction"
"no matter what happens","in spite of all obstacles"
"naked as a jaybird","(used informally) completely unclothed"
"non-nucleoside reverse transcriptase inhibitor","an antiviral drug used against HIV"
"naval tactical data system","a shipboard system for collecting and displaying tactical data"
"nucleoside reverse transcriptase inhibitor","an antiviral drug used against HIV"
"natural language processing application","an application program that deals with natural language text"
"New England clam chowder","a thick chowder made with clams and potatoes and onions and salt pork and milk"
"New England boiled dinner","corned beef simmered with onions and cabbage and usually other vegetables"
"neonatal intensive care unit","an intensive care unit designed with special equipment to care for premature or seriously ill newborn"
"neck of the woods","a surrounding or nearby region"
"no fault automobile insurance","a system of automobile insurance where a party who is injured in an automobile accident recovers damages up to a specific amount against his own insurance company regardless of who was responsible for the accident"
"nonrapid eye movement sleep","a recurring sleep state during which rapid eye movements do not occur and dreaming does not occur"
"nicotinamide adenine dinucleotide phosphate","a coenzyme similar to NAD and present in most living cells but serves as a reductant in different metabolic processes"
"once in a while","now and then or here and there"
"out of the blue","in a way that was not expected"
"out of the blue","not anticipated"
"out of the way","so as not to obstruct or hinder"
"out of the way","dealt with"
"out of the way","removed from the picture, by implication murdered"
"out of the way","in a remote location or at a distance from the usual route"
"out of the way","improper"
"out of the way","extraordinary"
"on a higher floor","on a floor above"
"once and for all","in a conclusive way"
"on a lower floor","on a floor below"
"on the other hand","from another point of view, contrasting the first"
"on the one hand","from one point of view"
"out of thin air","without warning"
"over and over again","repeatedly"
"on an individual basis","apart from others"
"on a regular basis","in a regular manner"
"on an irregular basis","in an irregular manner"
"one at a time","in single file"
"off the beaten track","remote from populous or much-traveled regions"
"out of the question","totally unlikely"
"on the qui vive","lively attentiveness"
"object of a preposition","the object governed by a preposition"
"object of the verb","the object that receives the direct action of the verb"
"order of the day","the order of business for an assembly on a given day"
"object-oriented database management system","a database management system designed to manage an object-oriented database"
"order of Saint Benedict","a Roman Catholic monastic order founded in the 6th century"
"one of the boys","a person who has been socially accepted into a group of other people, typically men"
"over the counter security","a security traded in the over-the-counter market"
"over the counter stock","stock that is not listed and traded on an organized exchange"
"one million million million","the number that is represented as a one followed by 18 zeros"
"path of least resistance","the easiest way"
"port-access coronary bypass surgery","heart surgery in which a coronary bypass is performed by the use of small instruments and tiny cameras threaded through small incisions while the heart is stopped and blood is pumped through a heart-lung machine"
"phase I clinical trial","a clinical trial on a few persons to determine the safety of a new drug or invasive medical device"
"phase II clinical trial","a clinical trial on more persons than in phase I"
"phase III clinical trial","a large clinical trial of a treatment or drug that in phase I and phase II has been shown to be efficacious with tolerable side effects"
"phase IV clinical trial","sometimes the FDA approves a drug for general use but requires the manufacturer to continue to monitor its effects"
"prisoner of war censorship","military censorship of communication to and from prisoners of war and civilian internees held by the armed forces"
"pinion and crown wheel","gears that mesh at an angle"
"pinion and ring gear","gears that mesh at an angle"
"positron emission tomography scanner","a tomograph that produces cross-sectional X-rays of metabolic processes in the body"
"prisoner of war camp","a camp for prisoners of war"
"primary color for pigments","any of three pigments from which all colors can be obtained by mixing"
"primary colour for pigments","any of three pigments from which all colors can be obtained by mixing"
"primary color for light","any of three primary colors of light from which all colors can be obtained by additive mixing"
"primary colour for light","any of three primary colors of light from which all colors can be obtained by additive mixing"
"privilege of the floor","the right to be admitted onto the floor of a legislative assembly while it is in session"
"privilege against self incrimination","the civil right (guaranteed by the Fifth Amendment to the United States Constitution) to refuse to answer questions or otherwise give testimony against yourself"
"pit of the stomach","a slight depression in the midline just below the sternum (where a blow can affect the solar plexus)"
"point of no return","a line that when crossed permits of no return and typically results in irrevocable commitment"
"pain in the neck","something or someone that causes trouble"
"pain in the neck","a bothersome annoying person"
"pain in the ass","something or someone that causes trouble"
"principle of liquid displacement","(hydrostatics) the volume of a body immersed in a fluid is equal to the volume of the displaced fluid"
"pleading in the alternative","a pleading that alleges facts so separate that it is difficult to determine which facts the person intends to rely on"
"pure binary numeration system","a positional system of numeration that uses binary digits and a radix of two"
"pate de foie gras","a pate made from goose liver (marinated in Cognac) and truffles"
"party to the action","a party of people taking a role in legal proceedings"
"party to the transaction","a party of people taking a role in legal proceedings"
"peer of the realm","a peer who is entitled to sit in the House of Lords"
"perennial salt marsh aster","a variety of aster"
"pink of my John","a common and long cultivated European herb from which most common garden pansies are derived"
"pay as you earn","the British system of withholding tax"
"personal line of credit","the maximum credit that a customer is allowed"
"profit and loss account","an account compiled at the end of an accounting period to show gross and net profit or loss"
"phase of cell division","a stage in meiosis or mitosis"
"precession of the equinoxes","a slow westward shift of the equinoxes along the plane of the ecliptic caused by precession of the Earth's axis of rotation"
"pounds per square inch","a unit of pressure"
"part to whole relation","the semantic relation that holds between a part and the whole"
"phase of the moon","a time when the Moon presents a particular recurring appearance"
"pull in one's horns","to make a retreat from an earlier commitment or activity"
"pull the leg of","tell false information to for fun"
"pick up the gauntlet","be dared to do something and attempt it"
"pour cold water on","be discouraging or negative about"
"play it by ear","decide on one's actions as one goes along, depending on the situation"
"play a joke on","deceive somebody"
"play a joke on","subject to a playful hoax or joke"
"play a trick on","deceive somebody"
"put on the line","expose to a chance of loss or damage"
"pass with flying colors","to succeed at easily"
"paper over the cracks","conceal problems, often hastily"
"radio detection and ranging","measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects"
"reduced instruction set computer","(computer science) a kind of computer architecture that has a relatively small set of computer instructions that it can perform"
"right to due process","a right guaranteed by the Fifth Amendment to the US Constitution"
"right to an attorney","a civil right guaranteed by the 6th amendment to the US Constitution"
"right to confront accusors","a right guaranteed by the 6th amendment to the US Constitution"
"roof of the mouth","the upper surface of the mouth that separates the oral and nasal cavities"
"radioactive iodine excretion test","radioactive iodine test that measures the amount of radioactive iodine excreted in the urine"
"radioactive iodine uptake test","radioactive iodine test that measures the amount of radioactive iodine taken up by the thyroid gland"
"rule of cy pres","a rule that when literal compliance is impossible the intention of a donor or testator should be carried out as nearly as possible"
"regression toward the mean","the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x)"
"right of first publication","a document granting exclusive right to publish and sell literary or musical or artistic work"
"relational database management system","a database management system designed to manage a relational database"
"range of a function","(mathematics) the set of values of the dependent variable for which a function is defined"
"rock 'n' roll musician","a performer or composer or fan of rock music"
"rhythm and blues musician","a performer (and sometimes composer) of rhythm and blues music"
"real gross national product","a version of the GNP that has been adjusted for the effects of inflation"
"rapid eye movement sleep","a recurring sleep state during which dreaming occurs"
"return on invested capital","(corporate finance) the amount, expressed as a percentage, that is earned on a company's total capital calculated by dividing the total capital into earnings before interest, taxes, or dividends are paid"
"read between the lines","read what is implied but not expressed on the surface"
"rain cats and dogs","rain heavily"
"smart as a whip","having or marked by unusual and impressive intelligence"
"search and rescue mission","a rescue mission to search for survivors and to rescue them"
"somatic cell nuclear transplantation","moving a cell nucleus and its genetic material from one cell to another"
"somatic cell nuclear transfer","moving a cell nucleus and its genetic material from one cell to another"
"search and destroy mission","an operation developed for United States troops in Vietnam"
"sacrament of the Eucharist","a Christian sacrament commemorating the Last Supper by consecrating bread and wine"
"second battle of Ypres","battle in World War I (1915)"
