word,definition
"attestation service","a consulting service in which a CPA expresses a conclusion about the reliability of a written statement that is the responsibility of someone else"
"attestation report","a consulting service in which a CPA expresses a conclusion about the reliability of a written statement that is the responsibility of someone else"
"aerobic exercise","exercise that increases the need for oxygen"
"anaerobic exercise","exercise that builds muscles through tension"
"arm exercise","exercise designed to strengthen the arm muscles"
"alternative medicine","the practice of medicine without the use of drugs"
"airplane mechanics","the craft of building and repairing airplanes"
"auto mechanics","the craft of building and repairing automobiles"
"autogenic therapy","training patients in self-induced relaxation"
"autogenic training","training patients in self-induced relaxation"
"assertiveness training","a method of psychotherapy that reinforces you for stating negative and positive feelings directly"
"aversion therapy","any technique of behavior modification that uses unpleasant stimuli in a controlled fashion to alter behavior in a therapeutic way"
"actus reus","activity that transgresses moral or civil law"
"aggravated assault","a reckless attack with intent to injure seriously, as with a deadly weapon"
"actual sin","a sin committed of your own free will (as contrasted with original sin)"
"armed robbery","robbery at gunpoint"
"anti-takeover defense","resistance to or defense against a hostile takeover"
"any-and-all bid","a takeover bid where the acquirer offers to buy any and all shares outstanding"
"air cover","the use of military aircraft to provide protection against attack by enemy aircraft during ground or naval operations"
"advertising campaign","an organized program of advertisements"
"acceptance sampling","a statistical procedure for accepting or rejecting a batch of merchandise or documents"
"ad campaign","an organized program of advertisements"
"ad blitz","an organized program of advertisements"
"anti-war movement","a campaign against entering or continuing a war"
"arms control","a limitation on the size and armament of the armed forces of a country"
"actual possession","(law) immediate and direct physical control over property"
"airborne patrol","a patrol provided by aircraft"
"artificial respiration","an emergency procedure whereby breathing is maintained artificially"
"abdominal breathing","breathing in which most of the respiratory effort is done by the abdominal muscles"
"anamnestic reaction","renewed rapid production of an antibody on the second (or subsequent) encounter with the same antigen"
"acquired reflex","an acquired response that is under the control of (conditional on the occurrence of) a stimulus"
"assortative mating","mating of individuals having more traits in common than likely in random mating"
"anamnestic response","renewed rapid production of an antibody on the second (or subsequent) encounter with the same antigen"
"arithmetic operation","a mathematical operation involving numbers"
"adult education","a course (via lectures or correspondence) for adults who are not otherwise engaged in formal study"
"art class","a class in which you learn to draw or paint"
"animal husbandry","breeding and caring for farm animals"
"athletic training","the course of practice and exercise and diet undertaken by an athlete"
"A-scan ultrasonography","the use of ultrasonography to measure the length of the eyeball"
"artistic production","the creation of beautiful or significant things"
"alcohol abuse","excessive use of alcohol and alcoholic drinks"
"alcoholic abuse","excessive use of alcohol and alcoholic drinks"
"alcoholism abuse","excessive use of alcohol and alcoholic drinks"
"aeronautical engineering","the activity of designing and constructing aircraft"
"aeronautical engineering","the branch of engineering science concerned with the design and construction of aircraft"
"automotive technology","the activity of designing and constructing automobiles"
"automotive engineering","the activity of designing and constructing automobiles"
"artistic creation","the creation of beautiful or significant things"
"amphibious demonstration","an amphibious operation conducted for the purpose of deceiving the enemy and leading him into a course of action unfavorable to him"
"air raid","an attack by armed planes on a surface target"
"air attack","an attack by armed planes on a surface target"
"air reconnaissance","reconnaissance either by visual observation from the air or through the use of airborne sensors"
"armed combat","an engagement fought between two military forces"
"antiaircraft fire","firing at enemy aircraft"
"area bombing","an extensive and systematic bombing intended to devastate a large target"
"air defense","defensive measures designed to destroy attacking enemy aircraft or missiles or to nullify their effectiveness"
"amphibious operation","a military operation by both land and sea forces"
"amphibious assault","an amphibious operation attacking a land base that is carried out by troops that are landed by naval ships"
"attendance check","a call of students' names in a classroom"
"artillery fire","fire delivered by artillery"
"action replay","the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape"
"ancestor worship","worship of ancestors"
"air transport","transportation by air"
"arms deal","a deal to provide military arms"
"air transportation","transportation by air"
"auto limitation","social control achieved as a manifestation of self-will or general consent"
"affaire d'honneur","a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor"
"antitrust case","a legal action brought against parties who are charged with limiting free competition in the market place"
"administrative hearing","a hearing that takes place outside the judicial process before hearing examiners who have been granted judicial authority specifically for the purpose of conducting such hearings"
"actual eviction","the physical ouster of a tenant from the leased premises"
"animal kingdom","taxonomic kingdom comprising all living or extinct animals"
"animal virus","an animal pathogen that is a virus"
"anthrax bacillus","a species of bacillus that causes anthrax in humans and in animals (cattle and swine and sheep and rabbits and mice and guinea pigs)"
"animal order","the order of animals"
"ascidian tadpole","free-swimming larva of ascidians"
"aquatic vertebrate","animal living wholly or chiefly in or on water"
"angel shark","sharks with broad flat bodies and winglike pectoral fins but that swim the way sharks do"
"amniotic sac","thin innermost membranous sac enclosing the developing embryo of higher vertebrates"
"ant bird","any of various dull-colored South American birds that feeding on ants some following army ant swarms"
"ant thrush","a kind of antbird"
"ant shrike","antbirds superficially resembling shrikes"
"amphibian family","any family of amphibians"
"amphibian genus","any genus of amphibians"
"arboreal salamander","yellow-spotted brown salamander of California woodlands"
"alpine salamander","ovoviviparous amphibian of the Alps"
"ambystomid salamander","small to moderate-sized terrestrial or semiaquatic New World salamander"
"alligator snapper","large species having three ridges on its back"
"anapsid reptile","primitive reptile having no opening in the temporal region of the skull"
"agua toad","largest known toad species"
"archosaurian reptile","extinct reptiles including: dinosaurs"
"anguid lizard","any of a small family of lizards widely distributed in warm areas"
"armored dinosaur","dinosaurs having bony armour"
"agamid lizard","a lizard of the family Agamidae"
"arthropod family","any of the arthropods"
"asp viper","of southern Europe"
"arthropod genus","a genus of arthropods"
"amethystine python","a python having the color of amethyst"
"argus pheasant","large brilliantly patterned East Indian pheasant"
"apodiform bird","nonpasserine bird having long wings and weak feet"
"aquatic bird","wading and swimming and diving birds of either fresh or salt water"
"anseriform bird","chiefly web-footed swimming birds"
"annelid worm","worms with cylindrical bodies segmented both internally and externally"
"ark shell","marine bivalve mollusk having a heavy toothed shell with a deep boat-like inner surface"
"adjutant bird","large Indian stork with a military gait"
"adjutant stork","large Indian stork with a military gait"
"acorn barnacle","barnacle that attaches to rocks especially in intertidal zones"
"arctic skua","a variety of jaeger"
"ant bear","nocturnal burrowing mammal of the grasslands of Africa that feeds on termites"
"ant bear","large shaggy-haired toothless anteater with long tongue and powerful claws"
"attack dog","a watchdog trained to attack on command"
"alley cat","a homeless cat"
"animal foot","the pedal extremity of vertebrates other than human beings"
"alkali bee","a common solitary bee important for pollinating alfalfa in the western United States"
"apple maggot","larvae bore into and feed on apples"
"army ant","tropical nomadic ant that preys mainly on other insects"
"armored scale","insect having a firm covering of wax especially in the female"
"ant lion","winged insect resembling a dragonfly"
"ant lion","the larva of any of several insects"
"antlion fly","winged insect resembling a dragonfly"
"aphid lion","carnivorous larva of lacewing flies"
"aphis lion","carnivorous larva of lacewing flies"
"assassin bug","a true bug: long-legged predacious bug living mostly on other insects"
"apple aphid","bright green aphid"
"ant cow","excretes a honeylike substance eaten by ants"
"alder fly","dark-colored insect having predaceous aquatic larvae"
"angoumois moth","small moth whose larvae feed on kernels of stored grains"
"almond moth","a moth whose larvae feed on and mat together with webbing various stored products of vegetable origin"
"ailanthus silkworm","large green silkworm of the cynthia moth"
"antler moth","European moth with white antler-like markings on the forewings"
"army cutworm","larvae (of a noctuid moth) that travel in large groups and destroy grains and alfalfa in the midwestern states"
"army worm","noctuid moth larvae that travel in multitudes destroying especially grass and grain"
"atlas moth","giant saturniid moth widespread in Asia"
"arctiid moth","stout-bodied broad-winged moth with conspicuously striped or spotted wings"
"antelope squirrel","small ground squirrel of western United States"
"antelope chipmunk","small ground squirrel of western United States"
"artiodactyl mammal","placental mammal having hooves with an even number of functional toes on each foot"
"animal leg","the leg of an animal"
"air bladder","an air-filled sac near the spinal column in many fishes that helps maintain buoyancy"
"air sac","any of the membranous air-filled extensions of the lungs of birds"
"air sac","any of the thin-walled extensions of the tracheae of insects"
"air sac","a tiny sac for holding air in the lungs"
"anthropoid ape","any tailless ape of the families Pongidae and Hylobatidae"
"allice shad","European shad"
"allis shad","European shad"
"armored catfish","South American catfish having the body covered with bony plates"
"angler fish","fishes having large mouths with a wormlike filament attached for luring prey"
"anemone fish","live associated with sea anemones"
"armed bullhead","northern Atlantic sea poacher"
"armored searobin","sea robins having bony scutes on the body and barbels on the chin"
"abandoned ship","a ship abandoned on the high seas"
"acetate disk","a disk coated with cellulose acetate"
"acetate rayon","a fabric made from fibers of cellulose acetate"
"achromatic lens","a compound lens system that forms an image free from chromatic aberration"
"abortion-inducing drug","a drug (or other chemical agent) that causes abortion"
"abortion pill","an abortion-inducing drug (trade name RU_486) developed in France"
"abrading stone","a primitive stone artifact (usually made of sandstone) used as an abrader"
"action painting","a New York school of painting characterized by freely created abstractions"
"abstract art","an abstract genre of art"
"abutment arch","an arch supported by an abutment"
"academic costume","a costume worn on formal occasions by the faculty or students of a university or college"
"academic gown","a gown worn by academics or judges"
"academic robe","a gown worn by academics or judges"
"atom smasher","a scientific instrument that increases the kinetic energy of charged particles"
"accelerator pedal","a pedal that controls the throttle valve"
"access road","a short road giving access to an expressway"
"accommodating IOL","a lens implant containing a hinge that allows for both near and far vision (thus mimicking the natural lens of a young person)"
"accommodation ladder","(nautical) a portable ladder hung over the side of a vessel to give access to small boats alongside"
"accumulator register","(computer science) a register that has a built-in adder that adds an input number to the contents of the register"
"adjustable spanner","can be changed to different settings"
"air horn","air intake of a carburetor"
"air horn","a pneumatic horn"
"airing cupboard","a warm cupboard where you put newly washed clothes until they are completely dry"
"adobe brick","sun-dried brick"
"alpha blocker","any of various drugs that block alpha-adrenergic receptors"
"adrenergic drug","drug that has the effects of epinephrine"
"amusement arcade","an arcade featuring coin-operated game machines"
"amyl nitrate","a vasodilator that is sometimes used to treat angina pectoris"
"airline business","a commercial enterprise that provides scheduled flights for passengers"
"alpha-adrenergic blocker","any of various drugs that block alpha-adrenergic receptors"
"aeolian harp","a harp having strings tuned in unison"
"air hose","a hose that carries air under pressure"
"aeolian lyre","a harp having strings tuned in unison"
"analog clock","a clock that displays the time of day by the position of hands on a dial"
"air lock","a chamber that provides access to space where air is under pressure"
"analog computer","a computer that represents information by variable quantities (e.g., positions or voltages)"
"aerial ladder","mechanically extendible ladder"
"analogue computer","a computer that represents information by variable quantities, such as positions or voltages"
"aerial torpedo","a torpedo designed to be launched from an airplane"
"air mattress","a mattress that can be stored flat and inflated for use"
"analog watch","a watch that represents time by the position of hands on a dial"
"air passage","a duct that provides ventilation (as in mines)"
"analytical balance","a beam balance of great precision used in quantitative chemical analysis"
"air duct","a duct that provides ventilation (as in mines)"
"aerosol container","a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
"aerosol can","a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
"aerosol bomb","a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
"aerosol bomb","a bomb that uses a fuel-air explosive"
"airplane propeller","a propeller that rotates to push against air"
"alto relievo","a sculptural relief in which forms extend out from the background to at least half their depth"
"alto rilievo","a sculptural relief in which forms extend out from the background to at least half their depth"
"aluminum foil","foil made of aluminum"
"aluminium foil","foil made of aluminum"
"after-shave lotion","a fragrant lotion for the face after shaving"
"air pump","a pump that moves air in or out of something"
"amen corner","area reserved for persons leading the responsive `amens'"
"air shaft","a shaft for ventilation"
"air well","a shaft for ventilation"
"air terminal","a terminal that serves air travelers or air freight"
"airport terminal","a terminal that serves air travelers or air freight"
"air-to-air missile","a missile designed to be launched from one airplane at another"
"air-to-ground missile","a missile designed to be launched from an airplane at a target on the ground"
"air-to-surface missile","a missile designed to be launched from an airplane at a target on the ground"
"acorn tube","a small vacuum tube"
"air bag","a safety restraint in an automobile"
"acoustic device","a device for amplifying or transmitting sound"
"air base","a base for military aircraft"
"amitriptyline hydrochloride","a tricyclic antidepressant drug (trade name Elavil) with serious side effects"
"acoustic guitar","sound is not amplified by electrical means"
"air station","a base for military aircraft"
"acoustic modem","a modem that converts electrical signals to telephone tones and back again"
"acoustic storage","a storage device consisting of acoustic delay lines"
"ammonia clock","an atomic clock based on vibrational frequency of the nitrogen atom in the ammonia molecule"
"alarm system","a device that signals the occurrence of some undesirable event"
"alarm clock","a clock that wakes a sleeper at some preset time"
"acrylic paint","used especially by artists"
"air compressor","a compressor that takes in air at atmospheric pressure and delivers it at a higher pressure"
"air conditioner","a system that keeps air cool and dry"
"air conditioning","a system that keeps air cool and dry"
"amobarbital sodium","the sodium salt of amobarbital that is used as a barbiturate"
"action mechanism","the operating part that transmits power to a mechanism"
"aircraft carrier","a large warship that carries planes and has a long flat deck for takeoffs and landings"
"active placebo","a placebo used in experimental tests of a drug that has noticeable side effects"
"aircraft engine","the engine that powers and aircraft"
"air cushion","a cushion usually made of rubber or plastic that can be inflated"
"air cushion","a mechanical device using confined air to absorb the shock of motion"
"air cushion","the trapped air that supports a hovercraft a short distance above the water or ground"
"alcohol thermometer","thermometer consisting of a glass capillary tube marked with degrees Celsius or Fahrenheit and containing alcohol which rises or falls as it expands or contracts with changes in temperature"
"alcohol-in-glass thermometer","thermometer consisting of a glass capillary tube marked with degrees Celsius or Fahrenheit and containing alcohol which rises or falls as it expands or contracts with changes in temperature"
"air spring","a mechanical device using confined air to absorb the shock of motion"
"amphetamine sulfate","a sulfate derivative of amphetamine that is used as a stimulant for the central nervous system"
"amphetamine sulphate","a sulfate derivative of amphetamine that is used as a stimulant for the central nervous system"
"air filter","a filter that removes dust from the air that passes through it"
"amphibious aircraft","an airplane designed to take off and land on water"
"air cleaner","a filter that removes dust from the air that passes through it"
"amphibious vehicle","a flat-bottomed motor vehicle that can travel on land or water"
"adding machine","a calculator that performs simple arithmetic functions"
"alkylating agent","an antineoplastic drug used to treat some forms of cancer"
"Allen screw","a screw with a hexagonal hole in the head"
"Allen wrench","a wrench for Allen screws"
"air gun","a gun that propels a projectile by compressed air"
"addressing machine","a printer that automatically prints addresses on letters for mailing"
"air rifle","a gun that propels a projectile by compressed air"
"alligator wrench","a wrench with a v-shaped jaw and serrations on one side (resembles the open jaws of an alligator)"
"adhesive bandage","bandage consisting of a medical dressing of plain absorbent gauze held in place by a plastic or fabric tape coated with adhesive"
"air hammer","a hammer driven by compressed air"
"adhesive tape","tape coated with adhesive"
"alms dish","a tray for collecting the offering from a congregation"
"air hole","a hole that allows the passage of air"
"air hole","a local region of low pressure or descending air that causes a plane to lose height suddenly"
"alms tray","a tray for collecting the offering from a congregation"
"adjustable wrench","can be changed to different settings"
"anti-submarine rocket","a shipboard system to fire rockets at submarines"
"arc light","a lamp that produces light when electric current flows across the gap between two electrodes"
"answering machine","an electronic device that answers the telephone and records messages"
"anti-TNF compound","a class of drugs that block the action of tumor necrosis factor (TNF)"
"antiviral agent","any drug that destroys viruses"
"antiviral drug","any drug that destroys viruses"
"ao dai","the traditional dress of Vietnamese women consisting of a tunic with long sleeves and panels front and back"
"apartment building","a building that is divided into apartments"
"apartment house","a building that is divided into apartments"
"arena theater","a theater arranged with seats around at least three sides of the stage"
"antiaircraft gun","artillery designed to shoot upward at airplanes"
"anastigmatic lens","a lens designed to correct astigmatism"
"ack-ack gun","artillery designed to shoot upward at airplanes"
"antiarrhythmic drug","a drug used to treat an abnormal heart rhythm"
"antiarrhythmic medication","a drug used to treat an abnormal heart rhythm"
"antibacterial drug","any drug that destroys bacteria or inhibits their growth"
"anchor chain","the chain or rope that attaches an anchor to a vessel"
"anchor rope","the chain or rope that attaches an anchor to a vessel"
"antiballistic missile","a defensive missile designed to shoot down incoming intercontinental ballistic missiles"
"anchor light","a light in the rigging of a ship that is riding at anchor"
"apple orchard","a grove of apple trees"
"antibiotic drug","a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections"
"AND circuit","a circuit in a computer that fires only when all of its inputs fire"
"anticholinergic drug","a substance that opposes or blocks the action of acetylcholine"
"AND gate","a circuit in a computer that fires only when all of its inputs fire"
"anticoagulant medication","medicine that prevents or retards the clotting of blood"
"arm guard","a pad worn by football players and hockey goalkeepers"
"arm pad","a pad worn by football players and hockey goalkeepers"
"anticonvulsant drug","a drug used to treat or prevent convulsions (as in epilepsy)"
"armillary sphere","a celestial globe consisting of metal hoops"
"antiepileptic drug","a drug used to treat or prevent convulsions (as in epilepsy)"
"anechoic chamber","a chamber having very little reverberation"
"arm band","a band worn around the arm for decoration"
"antidepressant drug","any of a class of drugs used to treat depression"
"armored car","a military combat vehicle on wheels with light armor (and usually a machine gun)"
"armored car","an armor-plated truck with strong doors and locks used to transport money or valuables"
"antidiabetic drug","a drug used to treat diabetes mellitus"
"aneroid barometer","a barometer that measures pressure without using fluids"
"anesthetic agent","a drug that causes temporary loss of bodily sensations"
"approach trench","a trench that provides protected passage between the rear and front lines of a defensive position"
"armoured car","a military combat vehicle on wheels with light armor (and usually a machine gun)"
"armoured car","an armor-plated truck with strong doors and locks used to transport money or valuables"
"antidiarrheal drug","a drug used to control or stop diarrhea"
"anaesthetic agent","a drug that causes temporary loss of bodily sensations"
"antidiuretic drug","a drug that limits the formation of urine"
"armored vehicle","a vehicle that is protected by armor plate"
"angiogenesis inhibitor","a drug that is designed to prevent the growth of blood vessels that nourish tumors"
"apron string","(usually used in the plural) a cord used to tie an apron at the waist"
"armoured vehicle","a vehicle that is protected by armor plate"
"armor plate","specially hardened steel plate used to protect fortifications or vehicles from enemy fire"
"armour plate","specially hardened steel plate used to protect fortifications or vehicles from enemy fire"
"antiemetic drug","a drug that prevents or alleviates nausea and vomiting"
"armor plating","specially hardened steel plate used to protect fortifications or vehicles from enemy fire"
"antifouling paint","a paint used to protect against the accumulation of barnacles etc. on underwater surfaces"
"antifungal agent","any agent that destroys or prevents the growth of fungi"
"angiotensin I","a physiologically inactive form of angiotensin that is the precursor to angiotensin II"
"angiotensin II","a potent vasopressor agent formed from angiotensin I"
"antimycotic agent","any agent that destroys or prevents the growth of fungi"
"angle bracket","an L-shaped metal bracket"
"angle bracket","either of two punctuation marks (`<' or `>') used in computer programming and sometimes used to enclose textual material"
"anti-G suit","worn by fliers and astronauts to counteract the forces of gravity and acceleration"
"angle iron","an L-shaped metal bracket"
"army base","a large base of operations for an army"
"ankle brace","a brace worn to strengthen the ankle"
"antihypertensive drug","a drug that reduces high blood pressure"
"anti-inflammatory drug","a medicine intended to reduce inflammation"
"ankle bracelet","an ornament worn around the ankle"
"antimalarial drug","a medicinal drug used to prevent or treat malaria"
"antineoplastic drug","any of several drugs that control or kill neoplastic cells"
"antineoplastic antibiotic","an antibiotic drug used as an antineoplastic in chemotherapy"
"antiprotozoal drug","a medicinal drug used to fight diseases (like malaria) that are caused by protozoa"
"architectural ornament","(architecture) something added to a building to improve its appearance"
"arrester hook","a restraint that slows airplanes as they land on the flight deck of an aircraft carrier"
"arch support","a support for the arch of the foot"
"antispasmodic agent","a drug used to relieve or prevent spasms (especially of the smooth muscles)"
"arc lamp","a lamp that produces light when electric current flows across the gap between two electrodes"
"arterial road","a major or main route"
"artesian well","a well drilled through impermeable strata into strata that receive water from a higher altitude so there is pressure to force the water to flow upward"
"autograph album","an album for autographs"
"articulated ladder","a ladder consisting of segments (usually four) that are held together by joints that can lock in place"
"artificial flower","a handmade imitation of a blossom"
"atom bomb","a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239)"
"artificial heart","a pump that replaces the natural heart"
"atomic bomb","a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239)"
"artificial horizon","a navigational instrument based on a gyroscope"
"automatic choke","a choke that automatically controls the flow of air to the carburetor"
"artificial joint","a metal or plastic part that is surgically implanted to replace a natural joint (possibly elbow or wrist but usually hip or knee)"
"atomic clock","a timepiece that derives its time scale from the vibration of atoms or molecules"
"automatic firearm","a firearm that reloads itself and keeps firing until the trigger is released"
"artificial kidney","a machine that uses dialysis to remove impurities and waste products from the bloodstream before returning the blood to the patient's body"
"atomic cocktail","an oral dose of radioactive substance used in treatment and diagnosis of cancer"
"automatic gun","a firearm that reloads itself and keeps firing until the trigger is released"
"atomic pile","a nuclear reactor that uses controlled nuclear fission to generate energy"
"automatic weapon","a firearm that reloads itself and keeps firing until the trigger is released"
"artificial skin","a synthetic covering with two layers used experimentally to treat burn victims"
"atomic reactor","a nuclear reactor that uses controlled nuclear fission to generate energy"
"automatic pistol","a pistol that will keep firing until the ammunition is gone or the trigger is released"
"automatic rifle","light machine gun"
"automatic transmission","a transmission that automatically changes the gears according to the speed of the car"
"automatic drive","a transmission that automatically changes the gears according to the speed of the car"
"artillery shell","a shell fired by artillery"
"artist's loft","a factory loft that has been converted into an artist's workroom and living area"
"artist's workroom","a studio especially for an artist or designer"
"atomic warhead","the warhead of a missile designed to deliver an atom bomb"
"art school","a school specializing in art"
"automobile engine","the engine that propels an automobile"
"automobile factory","a factory where automobiles are manufactured"
"auto factory","a factory where automobiles are manufactured"
"automobile horn","a device on an automobile for making a warning noise"
"ash bin","a bin that holds rubbish until it is collected"
"auto part","a component of an automobile"
"automatic pilot","a navigational device that automatically keeps ships or planes or spacecraft on a steady course"
"automatic pilot","a cognitive state in which you act without self-awareness"
"auxiliary airfield","an airfield that functions in a subsidiary capacity"
"auxiliary boiler","(nautical) an extra boiler (as a ship's boiler that is used while the ship is in port)"
"auxiliary engine","(nautical) a small engine (as one used on board ships to operate a windlass)"
"asparagus bed","a bed in which asparagus is growing"
"attache case","a shallow and rectangular briefcase"
"auxiliary pump","a supplementary pump available if needed"
"auxiliary storage","a data storage device that is not the main memory of a computer"
"acetylsalicylic acid","the acetylated derivative of salicylic acid"
"attack submarine","a military submarine designed and armed to attack enemy shipping"
"aspirin powder","a powdered form of aspirin"
"attic fan","a fan that blows heated air out of the attic of a building"
"assault gun","an armored vehicle with the chassis of a tank (but no turret) and a large gun"
"assault gun","any of the automatic rifles or semiautomatic rifles with large magazines designed for military use"
"assault rifle","any of the automatic rifles or semiautomatic rifles with large magazines designed for military use"
"auction block","a platform from which an auctioneer sells"
"assembly hall","a hall where many people can congregate"
"assembly plant","a factory where manufactured parts are assembled into a finished product"
"astatic coils","an arrangement of coils used in sensitive electrical instruments"
"audio amplifier","an amplifier that increases the amplitude of reproduced sound"
"astatic galvanometer","has a moving magnet and astatic coils arranged to cancel the effect of the Earth's magnetic field"
"astringent drug","a drug that causes contraction of body tissues and canals"
"audio CD","compact discs used to reproduce sound (voice and music)"
"ax handle","the handle of an ax"
"axe handle","the handle of an ax"
"ax head","the cutting head of an ax"
"astronomical telescope","any telescope designed to collect and record electromagnetic radiation from cosmic sources"
"axe head","the cutting head of an ax"
