word,definition
"asserting","relating to the use of or having the nature of a declaration"
"announced","declared publicly"
"allowable","deductible according to the tax laws"
"allowable","that may be permitted especially as according to rule"
"allowable","deserving to be allowed or considered"
"arbitrary","based on or subject to individual discretion or preference or sometimes impulse or caprice"
"adiabatic","occurring without loss or gain of heat"
"assiduous","marked by care and persistent effort"
"appeasing","intended to pacify by acceding to demands or granting concessions"
"ambagious","roundabout and unnecessarily wordy"
"ascendant","most powerful or important or influential"
"ascendant","tending or directed upward"
"ascendant","someone from whom you are descended (but usually more remote than a grandparent)"
"ascendant","position or state of being dominant or in control"
"ascendent","most powerful or important or influential"
"ascendent","tending or directed upward"
"ascendent","someone from whom you are descended (but usually more remote than a grandparent)"
"ascendent","position or state of being dominant or in control"
"assistant","of or relating to a person who is subordinate to another"
"assistant","a person who contributes to the fulfillment of a need or furtherance of an effort or purpose"
"appointed","subject to appointment"
"appointed","selected for a job"
"appointed","provided with furnishing and accessories, especially of a tasteful kind"
"appointed","fixed or established especially by order or command"
"affective","characterized by emotion"
"autogamic","characterized by or fit for autogamy"
"attenuate","reduced in strength"
"attenuate","to become weaker, in strength, value, or magnitude"
"attenuate","to weaken the consistency of a chemical substance"
"admirable","deserving of the highest esteem or admiration"
"admirable","inspiring admiration or deserved respect"
"augmented","added to or made greater in amount or number or strength"
"adulatory","obsequiously complimentary"
"antitrust","of laws and regulations"
"allegiant","steadfast in devotion (especially to your lawful monarch or government)"
"andantino","(of tempo) moderately fast"
"afflicted","mentally or physically unfit"
"afflicted","grievously affected especially by disease"
"approving","expressing or manifesting praise or approval"
"approving","the formal act of approving"
"aftermost","located closest to the stern or tail"
"adventive","not native and not fully established"
"adaptable","capable of adapting (of becoming or being made suitable) to a particular situation or use"
"all-mains","used of a radio receiver that is adaptable to all voltages"
"authentic","not counterfeit or copied"
"authentic","conforming to fact and therefore worthy of belief"
"accoutred","provided with necessary articles of equipment for a specialized purpose (especially military)"
"angelical","marked by utter benignity"
"angelical","having a sweet nature befitting an angel or cherub"
"angelical","of or relating to angels"
"anicteric","not affected by jaundice"
"anicteric","without jaundice"
"ambrosial","worthy of the gods"
"ambrosial","extremely pleasing to the taste"
"ambrosian","worthy of the gods"
"ambrosian","extremely pleasing to the taste"
"arthritic","of or pertaining to arthritis"
"arthritic","a person afflicted with arthritis"
"asthmatic","relating to breathing with a whistling sound"
"asthmatic","a person suffering from asthma"
"assistive","giving assistance"
"accumbent","lying down"
"adenoidal","sounding as if the nose were pinched"
"adenoidal","of or pertaining to the adenoids"
"altissimo","very high"
"analogous","corresponding in function but not in evolutionary origin"
"analogous","similar or equivalent in some respects though otherwise dissimilar"
"abandoned","forsaken by owner or inhabitants"
"abandoned","free from constraint"
"arresting","commanding attention"
"acquitted","declared not guilty of a specific offense or crime"
"ancestral","inherited or inheritable by established rules (usually legal rules) of descent"
"ancestral","of or belonging to or inherited from an ancestor"
"anguished","experiencing intense pain especially mental pain"
"animating","giving spirit and vivacity"
"analgesic","capable of relieving pain"
"analgesic","a medicine used to relieve pain"
"analgetic","capable of relieving pain"
"apathetic","marked by a lack of interest"
"apathetic","showing little or no emotion or animation"
"absorbing","capable of arousing and holding the attention"
"antiknock","suppressing or eliminating engine knock in combustion engines"
"antiknock","any of various compounds that are added to gasoline to reduce engine knocking"
"air-tight","not allowing air or gas to pass in or out"
"air-tight","having no weak points"
"all-night","lasting, open, or operating through the whole night"
"alienated","caused to be unloved"
"alienated","socially disoriented"
"all-metal","consisting completely of metal"
"autoicous","having male and female reproductive organs in separate clusters on the same plant"
"affecting","arousing affect"
"anomalous","deviating from the general or common order or type"
"axiomatic","evident without proof or argument"
"axiomatic","of or relating to or derived from axioms"
"axiomatic","containing aphorisms or maxims"
"abhorrent","offensive to the mind"
"attacking","disposed to attack"
"apposable","capable of being placed opposite to something"
"apposable","in grammar, able to be brought in to apposition"
"alternate","occurring by turns"
"alternate","every second one of a series"
"alternate","of leaves and branches etc"
"alternate","serving or used in place of another"
"alternate","someone who takes the place of another person"
"alternate","to do something in turns"
"alternate","to go back and forth"
"alternate","to be an understudy or alternate for a role"
"abactinal","(of radiate animals) located on the surface or end opposite to that on which the mouth is situated"
"atomistic","divided into separate and often disparate elements"
"agonizing","extremely painful"
"agonising","extremely painful"
"aphyllous","having no leaves"
"acid-fast","not easily decolorized by acid solutions"
"atheistic","rejecting any belief in gods"
"atheistic","related to or characterized by or given to atheism"
"apetalous","(of flowers) having no petals"
"acanthoid","shaped like a spine or thorn"
"acanthous","shaped like a spine or thorn"
"advancing","moving forward"
"atavistic","characteristic of an atavist"
"auxiliary","functioning in a supporting capacity"
"auxiliary","furnishing added support"
"auxiliary","someone who acts as assistant"
"agitative","causing or tending to cause anger or resentment"
"agitating","causing or tending to cause anger or resentment"
"aperiodic","not recurring at regular intervals"
"allegoric","used in or characteristic of or containing allegory"
"acceptant","accepting willingly"
"admissive","characterized by or allowing admission"
"answering","replying"
"awestruck","having or showing a feeling of mixed reverence, respect, wonder, and dread"
"annulated","shaped like a ring"
"allantoid","shaped like a sausage"
"aforesaid","being the one previously mentioned or spoken of"
"airworthy","(of aircraft) fit to fly"
"abscessed","infected and filled with pus"
"airheaded","lacking seriousness"
"apomictic","(of reproduction) not involving the fusion of male and female gametes in reproduction"
"apomictic","of or relating to a plant that reproduces by apomixis"
"anestrous","(of lower mammals) not in a state of estrus"
"anestrous","of or relating to anestrus"
"acuminate","(of a leaf shape) narrowing to a slender point"
"acuminate","to make sharp or acute"
"apiculate","(of a leaf shape) having a short sharply pointed tip"
"analeptic","stimulating the central nervous system"
"analeptic","a medication used as a stimulant to the central nervous system"
"amyloidal","resembling starch"
"accentual","(of verse) having a metric system based on stress rather than syllables or quantity"
"accentual","of or pertaining to accent or stress"
"ataractic","tending to soothe or tranquilize"
"ataractic","a drug used to reduce stress or tension without reducing mental clarity"
"attempted","tried unsuccessfully"
"accessory","furnishing added support"
"accessory","aiding and abetting in a crime"
"accessory","a supplementary component that improves capability"
"accessory","clothing that is worn or carried, but not part of your main clothing"
"accessory","someone who helps another person commit a crime"
"ancillary","furnishing added support"
"accessary","aiding and abetting in a crime"
"accessary","someone who helps another person commit a crime"
"acidulent","being sour to the taste"
"asyndetic","lacking conjunctions"
"acidulous","being sour to the taste"
"astounded","filled with the emotional impact of overwhelming surprise or shock"
"Antarctic","at or near the south pole"
"apodictic","of a proposition"
"antitoxic","counteracting a toxin or poison"
"ascensive","tending or directed upward"
"assurgent","growing or extending upward"
"assurgent","rising from the sea"
"accretive","growing by accretion"
"autonomic","relating to or controlled by the autonomic nervous system"
"abdicable","capable of being discarded or renounced or relinquished"
"air-dried","made dry by contact with unheated air"
"alimental","of or providing nourishment"
"Abkhazian","of or relating to Abkazia or its people or their language"
"Abkhazian","a Circassian language spoken by the Abkhaz"
"anhydrous","without water"
"asphaltic","containing asphalt"
"agrologic","of or related to agrology"
"agronomic","of or relating to or promoting agronomy"
"anorectal","pertaining to the anus and rectum considered together"
"alabaster","of or resembling alabaster"
"alabaster","a very light white"
"alabaster","a compact fine-textured, usually white gypsum used for carving"
"alabaster","a hard compact kind of calcite"
"anosmatic","relating to an impairment or loss of the sense of smell"
"ammonitic","of or related to an order of fossil cephalopods"
"acapnotic","relating to or demonstrating acapnia"
"amoristic","of or pertaining to romantic love"
"antennary","of or relating to antennae"
"anthropic","relating to mankind or the period of mankind's existence"
"albinotic","of or pertaining to or affected by albinism"
"ampullary","of or related to an ampulla"
"anabiotic","of or related to the state of anabiosis"
"aciculate","related to plants or animals or crystals having aciculae or needlelike parts"
"anaclitic","of or related to relationships that are characterized by the strong dependence of one person on another"
"aldehydic","of or related to or containing aldehydes"
"antitumor","used in the treatment of cancer"
"aleuronic","of or related to aleurone"
"acneiform","resembling acne"
"acrogenic","pertaining to flowerless plants (ferns or mosses) in which growth occurs only at the tip of the main stem"
"antigenic","of or relating to antigens"
"antimonic","relating to or derived from antimony"
"Algonkian","of or relating to an Algonquian tribe or its people or language"
"anaphasic","of or related to the stage of mitosis known as anaphase"
"Algonquin","of or relating to an Algonquian tribe or its people or language"
"aculeated","having or resembling a stinger or barb"
"antipodal","relating to the antipodes or situated at opposite sides of the earth"
"antipodal","the relation of opposition along a diameter"
"alkalotic","marked by alkalosis (or a tendency toward alkalosis)"
"allantoic","relating to or characterized by an allantois"
"antitypic","of or relating to an antitype"
"antidotal","counteracting the effects of a poison"
"antiviral","inhibiting or stopping the growth and reproduction of viruses"
"antiviral","any drug that destroys viruses"
"animistic","of or pertaining to the doctrine of animism"
"advective","of or relating to advection"
"aluminous","pertaining to or containing aluminum or alum"
"ankylotic","relating to or characteristic of the abnormality ankylosis"
"aerolitic","of or pertaining to certain stony meteorites"
"amaurotic","pertaining to blindness caused by amaurosis"
"amblyopic","pertaining to a kind of visual impairment without apparent organic pathology"
"Ambrosian","of or by or relating to Saint Ambrose"
"annelidan","relating to or belonging to or characteristic of any worms of the phylum Annelida"
"avifaunal","of or relating to birds of a particular region or period"
"avuncular","being or relating to an uncle"
"avuncular","resembling a uncle in kindness or indulgence"
"arachnoid","relating to or resembling a member of the class Arachnida"
"arachnoid","air-breathing arthropods characterized by simple eyes and four pairs of legs"
"arachnoid","the middle of the 3 meninges"
"azimuthal","of or relating to or in azimuth"
"astomatal","lacking a stoma or stomata"
"asynergic","of or relating to the state of asynergy"
"araneidal","relating to or resembling a spider"
"araneidan","relating to or resembling a spider"
"arborical","of or relating to or formed by trees"
"auricular","pertaining to an auricle of the heart"
"auricular","relating to or perceived by or shaped like the organ of hearing"
"auricular","of or relating to near the ear"
"archducal","belonging to or befitting an archduke or his archduchy"
"autarchic","of or relating to or characterized by autarchy"
"authorial","of or by or typical of an author"
"auctorial","of or by or typical of an author"
"apheretic","relating to or formed by or consisting of aphaeresis"
"argentous","relating to compounds in which silver is univalent"
"armillary","of or relating to bracelets"
"aphanitic","of or relating to aphanite"
"arsenical","relating to or containing arsenic"
"arsenical","a pesticide or drug containing arsenic"
"autolytic","of or relating to self-digestion"
"arsenious","relating to compounds in which arsenic is trivalent"
"autotelic","of or relating to or believing in autotelism"
"autotomic","of or relating to autotomy"
"apogamous","of or relating to the development of an embryo in the absence of fertilization"
"autotypic","of or relating to autotypy"
"apophatic","of or relating to the belief that God can be known to humans only in terms of what He is not (such as `God is unknowable')"
"Arthurian","of or relating to King Arthur and the Knights of the Round Table"
"articular","relating to or affecting the joints of the body"
"amphibian","relating to or characteristic of animals of the class Amphibia"
"amphibian","cold-blooded vertebrate typically living on land but breeding in water"
"amphibian","an airplane designed to take off and land on water"
"amphibian","a flat-bottomed motor vehicle that can travel on land or water"
"acronymic","characterized by the use of acronyms"
"apostolic","of or relating to or deriving from the Apostles or their teachings"
"apostolic","proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles"
"algebraic","of or relating to algebra"
"avascular","without blood vessels"
"anaphoric","relating to anaphora"
"anapestic","(of a metric foot) characterized by two short syllables followed by a long one"
"actuarial","of or relating to the work of an actuary"
"abdominal","of or relating to or near the abdomen"
"abdominal","the muscles of the abdomen"
"adverbial","of or relating to or functioning as an adverb"
"adverbial","a word or group of words function as an adverb"
"Amerindic","of or pertaining to American Indians or their culture or languages"
"Argentine","of or relating to or characteristic of Argentina or its people"
"autosomal","of or relating to an autosome"
"aneuploid","having a chromosome number that is not an exact multiple of the haploid number"
"Afrikaans","belonging or relating to white people of South Africa whose ancestors were Dutch or to their language"
"Afrikaner","belonging or relating to white people of South Africa whose ancestors were Dutch or to their language"
"Anguillan","of or relating to or characteristic of Anguilla or its people"
"appellate","of or relating to or taking account of appeals (usually legal appeals)"
"appellant","of or relating to or taking account of appeals (usually legal appeals)"
"appellant","the party who appeals a decision of a lower court"
"aspectual","of or belonging to an aspect (as an aspect of the verb)"
"attribute","an abstraction belonging to or characteristic of an entity"
"attribute","a construct whereby objects or individuals can be distinguished"
"attribute","to attribute or credit to"
"actuation","the act of propelling"
"acquiring","the act of acquiring something"
"anchorage","the act of anchoring"
"anchorage","place for vessels to anchor"
"anchorage","a fee for anchoring"
"anchorage","the condition of being secured to a base"
"addiction","(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor)"
"addiction","an abnormally strong craving"
"addiction","being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)"
"atonement","the act of atoning for sin or wrongdoing (especially appeasing a deity)"
"atonement","compensation for a wrong"
"assigning","the act of distributing something to designated places or persons"
"avoidance","deliberately avoiding"
"abolition","the act of abolishing a system or practice or institution (especially abolishing slavery)"
"annulment","the act of abrogating"
"annulment","(law) a formal termination (of a relationship or a judicial proceeding etc)"
"annulment","the state of being cancelled or annulled"
"attainder","cancellation of civil rights"
"accession","the act of attaining or gaining access to a new office or right or position (especially the throne)"
"accession","the right to enter"
"accession","agreeing with or consenting to (often unwillingly)"
"accession","something added to what you already have"
"accession","(civil law) the right to all of that which your property produces whether by growth or improvement"
"accession","a process of increasing by addition to a collection or group"
"accession","to make a record of additions to a collection, such as a library"
"abasement","depriving one of self-esteem"
"abasement","a low or downcast state"
"adornment","the action of decorating yourself with something colorful and interesting"
"adornment","a decoration of color or interest that is added to relieve plainness"
"ascension","the act of changing location in an upward direction"
"ascension","(astronomy) the rising of a star above the horizon"
"ascension","a movement upward"
"ascending","moving or going or growing upward"
"ascending","the act of changing location in an upward direction"
"abduction","(physiology) moving of a body part away from the central axis of the body"
"abduction","the criminal act of capturing and carrying away by force a family member"
"adduction","(physiology) moving of a body part toward the central axis of the body"
"agitation","the act of agitating something"
"agitation","disturbance usually in protest"
"agitation","the feeling of being agitated"
"agitation","a state of agitation or turbulent change or development"
"agitation","a mental state of extreme emotional disturbance"
"abatement","the act of abating"
"abatement","an interruption in the intensity or amount of something"
"attrition","the act of rubbing together"
"attrition","a wearing down to weaken or destroy"
"attrition","sorrow for sin arising from fear of damnation"
"attrition","the wearing down of rock particles by friction due to water or wind or ice"
"attrition","erosion by friction"
"admixture","the act of mixing together"
"admixture","an additional ingredient that is added by mixing with the base"
"admixture","the state of impairing the quality or reducing the value of something"
"annealing","hardening something by heat treatment"
"annoyance","the act of troubling or annoying someone"
"annoyance","something or someone that causes trouble"
"annoyance","anger produced by some annoying irritation"
"annoyance","an unpleasant person who is annoying or exasperating"
"annoyance","the psychological state of being irritated or annoyed"
"Anglicism","a custom that is peculiar to England or its citizens"
"Anglicism","an expression that is used in Great Britain (especially as contrasted with American English)"
"amusement","an activity that is diverting and that holds the attention"
"amusement","a feeling of delight at being entertained"
"avocation","an auxiliary activity"
"athletics","an active diversion requiring physical exertion and competition"
"athletics","participation in sports events as an extracurricular activity"
"athletics","a contest between athletes"
"animation","general activity and motion"
"animation","the making of animated cartoons"
"animation","the activity of giving vitality and vigour to something"
"animation","quality of being active or spirited or alive and vigorous"
"animation","the property of being able to survive and grow"
"animation","the condition of living or the state of being alive"
"admiralty","the office of admiral"
"admiralty","the department in charge of the navy (as in Great Britain)"
"attention","the work of providing treatment for or attending to someone or something"
"attention","a courteous act indicating affection"
"attention","a motionless erect stance with arms at the sides and feet together"
"attention","the faculty or power of mental concentration"
"attention","the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others"
"attention","a general interest that leads people to want to know more"
"aftercare","care and treatment of a convalescent patient"
"apheresis","a procedure in which blood is drawn and separated into its components by dialysis"
"apheresis","(linguistics) omission at the beginning of a word as in `coon' for `raccoon' or `till' for `until'"
"anointing","the act of applying oil or an oily liquid"
"allopathy","the usual method of treating disease with remedies that produce effects differing from those produced by the disease itself"
"anaplasty","surgery concerned with therapeutic or cosmetic reformation of tissue"
"adventure","a wild and exciting undertaking that may involve an element of danger or trouble"
"adventure","to take a risk in the hope of a favorable outcome"
"adventure","to put at risk"
"appraisal","an expert estimation of the quality, quantity, and other characteristics of someone or something"
"appraisal","the classification of someone or something with respect to its worth"
"appraisal","a document appraising the value of something (as for insurance or taxation)"
"arranging","the act of arranging and adapting a piece of music"
"algometry","measuring sensitivity to pain or pressure"
"alignment","the act of adjusting or aligning the parts of a device in relation to each other"
"alignment","the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines"
"alignment","(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
"alignment","an organization of people (or countries) involved in a pact or treaty"
"autolatry","the worship of yourself"
"aspersion","the act of sprinkling water in baptism (rare)"
"aspersion","an abusive attack on a person's character or good name"
"aspersion","a disparaging remark"
"adoration","the worship given to God alone"
"adoration","the act of admiring strongly"
"adoration","a feeling of profound love and admiration"
"abruption","an instance of sudden interruption"
"allotment","the act of distributing by allotting or apportioning"
"allotment","a share set aside for a specific purpose"
"arbitrage","a kind of hedged investment meant to capture slight differences in price by simultaneously buying and selling the same commodity on multiple markets"
"arbitrage","to practice arbitrage, as in the stock market"
"allowance","the act of allowing"
"allowance","a permissible difference"
"allowance","an amount added or deducted on the basis of qualifying circumstances"
"allowance","an amount allowed or granted, as during a given period"
"allowance","a sum granted as reimbursement for expenses"
"allowance","a reserve fund created by a charge against profits in order to provide for changes in the value of a company's assets"
"allowance","to put on a fixed allowance, as of food"
"acquittal","a judgment of not guilty"
"adherence","faithful support for a cause or political party or religion"
"adherence","the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
"amendment","the act of amending or correcting"
"amendment","a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)"
"attending","the act of being present (at a meeting or event etc.)"
"attending","the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others"
"appearing","formal attendance (in court or at a hearing) of a party in an action"
"ambuscade","the act of concealing yourself and lying in wait to attack by surprise"
"ambuscade","to wait in hiding to attack"
"admission","the act of admitting someone to enter"
"admission","the right to enter"
"admission","an acknowledgment of the truth of something"
"admission","the fee charged for admission"
"accenting","the act of giving special importance or significance to something"
"awakening","the act of waking"
"arbovirus","a large heterogeneous group of RNA viruses divisible into groups on the basis of the virions"
"acidophil","an organism that thrives in a relatively acid environment"
"actinopod","protozoa having stiff rodlike radiating pseudopods"
"amphioxus","small translucent lancet-shaped burrowing marine animal"
"anomalops","fish having a luminous organ beneath eye"
"allantois","the vascular fetal membrane that lies below the chorion and develops from the hindgut in many embryonic higher vertebrates (reptiles, birds and mammals)"
"angelfish","sharks with broad flat bodies and winglike pectoral fins but that swim the way sharks do"
"angelfish","deep-bodied disk-shaped food fish of warmer western Atlantic coastal waters"
"angelfish","a butterfly fish of the genus Pomacanthus"
"aepyornis","huge (to 9 ft.) extinct flightless bird of Madagascar"
"alligator","either of two amphibious reptiles related to crocodiles but with shorter broader snouts"
"alligator","leather made from alligator's hide"
"alligator","to crack and acquire the appearance of alligator hide, as from weathering or improper application"
"archosaur","extinct reptiles including: dinosaurs"
"apatosaur","huge quadrupedal herbivorous dinosaur common in North America in the late Jurassic"
"arthropod","invertebrate having jointed limbs and a segmented body with an exoskeleton made of chitin"
"anthozoan","sessile marine coelenterates including solitary and colonial polyps"
"arrowworm","any worm of the Chaetognatha"
"angleworm","terrestrial worm that burrows into and helps aerate soil"
"albatross","large web-footed birds of the southern hemisphere having long narrow wings"
"albatross","something that hinders or handicaps"
"anglewing","nymphalid butterfly having angular notches on the outer edges of the forewings"
"armadillo","burrowing chiefly nocturnal mammal with body covered with strong horny plates"
"argentine","any of various small silver-scaled salmon-like marine fishes"
"amberjack","any of several amber to coppery fork-tailed warm-water carangid fishes"
"amberfish","any of several amber to coppery fork-tailed warm-water carangid fishes"
"accordion","a portable box-shaped free-reed instrument"
"airmailer","a mailer for airmail"
"aeroplane","an aircraft that has a fixed wing and is powered by propellers or jets"
"altimeter","an instrument that measures the height above ground"
"afterdeck","a deck abaft of midships"
"aerodrome","an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo"
"ambulance","a vehicle that takes people to and from hospitals"
"agateware","pottery that is veined and mottled to resemble agate"
"Americana","any artifact (such as books or furniture or art) that is distinctive of America"
"acropolis","the citadel in ancient Greek towns"
"albuterol","a bronchodilator used for asthma and emphysema and other lung conditions"
"acyclovir","an oral antiviral drug (trade name Zovirax) used to treat genital herpes"
"algometer","device for measuring pain caused by pressure"
"amplifier","electronic equipment that increases strength of signals passing through it"
"apartment","a suite of rooms usually on one floor of an apartment house"
"apparatus","equipment designed to serve a specific function"
"apparatus","(anatomy) a group of body parts that work together to perform a given function"
"appendage","a part that is joined to something larger"
"appendage","a natural prolongation or projection from a part of an organism either animal or plant"
"appendage","an external body part that projects from the body"
"applecart","a handcart from which apples and other fruit are sold in the street"
"applecart","the planning that is disrupted when someone `upsets the applecart'"
"appliance","durable goods for home or office use"
"appliance","a device or control that is very useful for a particular job"
"angiogram","an X-ray representation of blood vessels made after the injection of a radiopaque substance"
"aquaplane","a board that is pulled by a speedboat as a person stands on it and skims over the top of the water"
"aquaplane","to ride on an aquaplane"
"aquaplane","to rise up onto a thin film of water between the tires and road so that there is no more contact with the road"
"arabesque","an ornament that interlaces simulated foliage in an intricate design"
"arabesque","position in which the dancer has one leg raised behind and arms outstretched in a conventional pose"
"antimycin","a crystalline antibiotic active against various fungi"
"arboretum","a facility where trees and shrubs are cultivated for exhibition"
"antiquity","an artifact surviving from the past"
"antiquity","extreme oldness"
"antiquity","the historic period preceding the Middle Ages in Europe"
"aztreonam","an antibiotic (trade name Azactam) used against severe infections"
"autoclave","a device for heating substances above their boiling point"
"autoclave","to subject to the action of an autoclave"
"autofocus","an optical device for focussing a camera or other instrument automatically"
"atmometer","an instrument that measures rate of evaporation of water"
"artillery","large but transportable armament"
"artillery","a means of persuading or arguing"
"artillery","an army unit that uses big guns"
"automaton","a mechanism that can move automatically"
